local_bsz,placement,step_time,sync_time
10,1,0.3922385722398758,0.0007127119973301888
14,1,0.42190493643283844,0.0007211519926786424
20,1,0.4906722605228424,0.000715048000216484
28,1,0.5615701228380203,0.0007174580059945583
40,1,0.7027018815279007,0.0007181040085852145
57,1,0.9743719547986984,0.0007197120003402232
81,1,1.501002937555313,0.0007207040004432203
115,1,2.3133028000593185,0.0007193039990961551
160,1,3.288677379488945,0.0007177379988133907
10,2,0.4210737347602844,0.02559777593612671
14,2,0.489966481924057,0.04046770000457764
20,2,0.5288737267255783,0.03236343365907669
28,2,0.6019621342420578,0.015730170100927355
40,2,0.7250069826841354,0.019296962127089506
57,2,0.9767797887325287,0.01146225179731846
81,2,1.5137118697166443,0.07617462022230029
115,2,2.3353895346323648,0.07375497714181743
160,2,3.3672533375876292,0.2743611234256199
10,3,0.48487430810928345,0.06434411764144897
14,3,0.4897047132253647,0.04659914350509643
20,3,0.5318782478570938,0.04615816390514374
28,3,0.6035192906856537,0.03494873213768005
40,3,0.7403739988803864,0.04230618768930435
57,3,0.9989372044801712,0.04240928012132645
81,3,1.5508034446022727,0.09868906898932023
115,3,2.3388142188390098,0.11725574880838395
160,3,3.3830562432607016,0.3012027165095011
10,4,0.5017910301685333,0.07829941034317017
14,4,0.48962780833244324,0.07224184799194336
20,4,0.5833805203437805,0.07938796329498292
28,4,0.610382005572319,0.07178495991230012
40,4,0.7588339596986771,0.08798049998283386
57,4,1.0159019033114116,0.11292349370320635
81,4,1.57269253049578,0.15469991997310092
115,4,2.4259820779164634,0.19264034926891327
160,4,3.3876752853393555,0.18201266479492187
